chars,ext,extraction_status,file,ocr_failed_pages,text_path,used_ocr
33,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__consensus-__77bf36.html,,project_output\05_extraction\NTV__busca1__openal__consensus-__77bf36.txt,False
33,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__clinical-g__96c593.html,,project_output\05_extraction\NTV__busca1__openal__clinical-g__96c593.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effects-of__a7f34c.html,,project_output\05_extraction\NTV__busca1__pubmed__effects-of__a7f34c.txt,False
101809,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__examining-__993a3c.pdf,,project_output\05_extraction\NTV__busca1__pubmed__examining-__993a3c.txt,False
461471,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__guidelines__19c956.pdf,,project_output\05_extraction\NTV__busca1__openal__guidelines__19c956.txt,False
57816,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__study-prot__04f90f.html,,project_output\05_extraction\NTV__busca1__pubmed__study-prot__04f90f.txt,False
17695,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__concordanc__6af131.html,,project_output\05_extraction\NTV__busca1__openal__concordanc__6af131.txt,False
44454,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__patients-w__a8ceb1.pdf,,project_output\05_extraction\NTV__busca1__europe__patients-w__a8ceb1.txt,False
5488,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__difference__3ff1d2.pdf,,project_output\05_extraction\NTV__busca1__pubmed__difference__3ff1d2.txt,False
33951,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__probiotic-__3969f1.pdf,,project_output\05_extraction\NTV__busca1__pubmed__probiotic-__3969f1.txt,False
102483,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__obesity-in__dc85fd.pdf,,project_output\05_extraction\NTV__busca1__crossr__obesity-in__dc85fd.txt,False
45774,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__a-within-t__12c1e3.pdf,,project_output\05_extraction\NTV__busca1__openal__a-within-t__12c1e3.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__american-a__788610.html,,project_output\05_extraction\NTV__busca1__openal__american-a__788610.txt,False
64851,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__clinical-p__8d47de.html,,project_output\05_extraction\NTV__busca1__crossr__clinical-p__8d47de.txt,False
84026,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__clinical-p__b9993c.html,,project_output\05_extraction\NTV__busca1__crossr__clinical-p__b9993c.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__recent-evi__0a0a04.html,,project_output\05_extraction\NTV__busca1__pubmed__recent-evi__0a0a04.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__promoting-__51095d.html,,project_output\05_extraction\NTV__busca1__pubmed__promoting-__51095d.txt,False
92652,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__optimal-do__51934f.pdf,,project_output\05_extraction\NTV__busca1__europe__optimal-do__51934f.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__associatio__6869f6.html,,project_output\05_extraction\NTV__busca1__pubmed__associatio__6869f6.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__espen-guid__e00f32.html,,project_output\05_extraction\NTV__busca1__openal__espen-guid__e00f32.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effectiven__794c97.html,,project_output\05_extraction\NTV__busca1__pubmed__effectiven__794c97.txt,False
